StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,sub1,sub2,sub3,sub4,sub5,sub6,sub7,sub8,sub9,sub10,pref1_1,pref1_2,pref1_3,pref2_1,pref2_2,pref2_3,pref3_1,pref3_2,pref3_3,pref4_1,pref4_2,pref4_3,pref5_1,pref5_2,pref5_3,pref6_1,pref6_2,pref6_3,pref7_1,pref7_2,pref7_3,pref8_1,pref8_2,pref8_3,pref9_1,pref9_2,pref9_3,pref10_1,pref10_2,pref10_3,sim1,sim2,sim3,sim4,sim5,sim6,sim7,sim8,sim9,sim10,Gender,Age,Platform
10/29/17 13:48,10/29/17 13:51,0,128.12.255.132,100,211,1,10/29/17 13:51,R_3lWAufWR8au4Q3w,,,,,37.4178009,-122.1719971,anonymous,EN,1,1,1,1,1,1,2,1,2,1,3,2,3,1,1,2,4,4,4,1,1,1,5,3,5,1,1,1,1,2,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,21,2
10/29/17 13:47,10/29/17 13:58,0,76.21.4.151,100,654,1,10/29/17 13:58,R_3emMIlezwzSyLl5,,,,,37.45759583,-122.1040955,anonymous,EN,2,1,1,2,2,1,1,1,2,1,1,1,3,3,3,4,3,2,3,1,3,1,3,3,3,1,2,3,1,4,5,3,3,5,1,4,3,3,1,3,3,2,2,2,4,4,1,3,2,2,2,15,2
10/29/17 15:48,10/29/17 15:51,0,76.21.4.151,100,218,1,10/29/17 15:51,R_3oXFtdUoPRqp1zA,,,,,37.45759583,-122.1040955,anonymous,EN,1,2,1,1,1,1,2,2,1,1,3,5,5,2,5,5,3,5,5,1,5,5,3,5,4,2,5,5,1,5,5,2,5,2,2,3,4,3,5,4,1,2,3,1,2,2,2,2,2,1,1,26,2
10/29/17 16:15,10/29/17 16:19,0,76.21.4.151,100,230,1,10/29/17 16:19,R_3lrUPAEWjzohPrK,,,,,37.45759583,-122.1040955,anonymous,EN,1,2,1,1,1,1,2,1,2,1,3,2,3,2,3,4,3,3,3,3,1,4,3,3,,2,3,2,1,4,4,3,4,3,2,3,4,4,5,5,5,3,6,4,6,5,6,4,3,5,3,100,2
10/30/17 15:00,10/30/17 15:06,0,171.66.208.5,100,341,1,10/30/17 15:06,R_TjTavNR0dICdlWV,,,,,37.4178009,-122.1719971,anonymous,EN,1,2,2,1,1,1,2,2,2,2,3,3,5,1,4,5,4,5,5,2,4,2,4,3,4,1,3,3,1,4,3,1,4,3,1,4,4,1,3,3,1,1,1,1,1,1,1,1,1,1,1,26,2
11/12/17 16:29,11/12/17 16:31,0,71.198.45.229,100,98,1,11/12/17 16:31,R_1iqxp4Q74vpGYC9,,,,,37.38850403,-122.0740967,anonymous,EN,2,1,2,2,1,2,2,2,1,1,2,4,4,2,5,5,2,5,4,3,5,5,4,4,5,2,5,4,3,4,4,3,5,5,2,5,5,4,5,5,3,3,3,3,2,2,3,3,3,3,1,34,2
11/12/17 16:31,11/12/17 16:33,0,71.198.45.229,100,79,1,11/12/17 16:33,R_XoBl2Ra2VT2jfd7,,,,,37.38850403,-122.0740967,anonymous,EN,2,1,2,2,1,1,1,1,1,1,2,5,4,3,5,5,3,5,5,2,5,5,2,5,5,3,5,5,2,5,5,2,5,5,2,5,5,3,5,5,2,2,3,3,3,2,2,2,3,3,1,50,2
11/12/17 16:38,11/12/17 16:40,0,71.198.45.229,100,169,1,11/12/17 16:40,R_87aJHovudIz7eP7,,,,,37.38850403,-122.0740967,anonymous,EN,1,1,2,2,2,2,1,2,2,1,2,2,3,1,4,5,3,4,4,1,1,4,3,1,5,1,5,5,2,3,4,1,5,5,1,1,3,2,4,4,3,3,5,5,5,4,4,4,3,2,2,26,2
11/12/17 16:45,11/12/17 16:47,0,71.198.45.229,100,83,1,11/12/17 16:47,R_Tno5JnmU47Nyn7z,,,,,37.38850403,-122.0740967,anonymous,EN,2,2,1,1,1,1,1,1,1,2,3,5,5,3,5,5,3,5,4,3,5,5,1,5,5,3,4,4,3,5,4,1,5,5,3,5,5,4,5,5,1,3,3,3,3,2,3,2,2,2,1,54,2
11/12/17 16:47,11/12/17 16:48,0,71.198.45.229,100,79,1,11/12/17 16:48,R_3GD0biBpvDaEB5g,,,,,37.38850403,-122.0740967,anonymous,EN,2,1,2,1,1,1,1,2,2,1,2,4,5,3,3,3,1,5,5,2,3,3,3,5,5,1,5,5,1,5,5,2,5,4,2,5,5,2,4,4,1,1,1,1,2,1,1,1,1,1,1,60,2
